"test_id","category","reference_method","n_values","n_compared","n_missing_actual","n_missing_reference","missing_pattern_matches","reference_min","reference_max","observed_min","observed_max","max_abs_error","tolerance","pass","edge_behavior","missing_value_behavior","notes","label","expected","observed"
"plane_slope_degrees","analytical","atan(sqrt(ax^2 + ay^2)) in degrees",441,361,80,80,TRUE,65.9051574478893,65.9051574478893,65.9051574478893,65.9051574478893,0,6.59051574478893e-07,TRUE,"Outer one-cell ring is expected NA for terra::terrain().","","Plane z = 2x + y on a 1 m projected grid.","Slope",65.9051574478893,65.9051574478893
"plane_northness","analytical","cos(analytical aspect in radians)",441,361,80,80,TRUE,-0.447213595499958,-0.447213595499958,-0.447213595499958,-0.447213595499958,0,1e-08,TRUE,"Matches aspect's outer NA ring.","","Northness is the cosine of aspect.","Northness",-0.447213595499958,-0.447213595499958
"plane_surface_area_ratio","analytical","1 / cos(atan(sqrt(ax^2 + ay^2)))",441,361,80,80,TRUE,2.44948974278318,2.44948974278318,2.44948974278318,2.44948974278318,0,2.44948974278318e-08,TRUE,"Matches slope's outer NA ring.","","For a unit horizontal grid this is sqrt(1 + ax^2 + ay^2).","Surface-area ratio",2.44948974278318,2.44948974278318
"constant_roughness","analytical","max(neighbourhood) - min(neighbourhood) on a constant surface",441,361,80,80,TRUE,0,0,0,0,0,1e-08,TRUE,"Outer one-cell ring is expected NA for terra::terrain().","","Constant local relief must be zero.","Roughness",0,0
"plane_tri","analytical","mean absolute difference between the centre and its eight planar neighbours",441,361,80,80,TRUE,1.75,1.75,1.75,1.75,0,1.75e-08,TRUE,"Outer one-cell ring is expected NA for terra::terrain().","","terra::terrain(v = 'TRI') uses mean absolute neighbour difference; the expected value is 1.75.","TRI",1.75,1.75
"plane_tpi","analytical","cell minus symmetric local neighbourhood mean on a plane",441,361,80,80,TRUE,0,0,0,0,0,1e-08,TRUE,"Outer one-cell ring is expected NA for terra::terrain().","","A linear plane has zero local relative position away from edges.","TPI",0,0
"constant_vrm_rugosity","analytical","1 - length(mean unit normal) on a constant surface",441,361,80,80,TRUE,0,0,0,0,0,1e-08,TRUE,"Outer one-cell ring is NA; values one cell in can use a partial focal window of finite normals.","","Identical vertical normals yield VRM = 0.","VRM-style rugosity",0,0
"convex_laplacian_curvature","analytical","four-neighbour discrete Laplacian of x^2 + y^2",441,361,80,80,TRUE,4,4,4,4,0,4e-08,TRUE,"Outer one-cell ring is expected NA for the 3 x 3 focal kernel.","","With unit cells, f(x+1)+f(x-1)+f(y+1)+f(y-1)-4f(x,y) = 4.","Laplacian-style index",4,4
