"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","depth_m"
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",0,711449.161255859,1978098,-416.114823677637,416.114823677637
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",12.171630288351,711448.054548766,1978085.87878788,-420.738547601419,420.738547601419
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",24.343260576702,711446.947841674,1978073.75757576,-423.949842048418,423.949842048418
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",36.5148908650531,711445.841134581,1978061.63636364,-426.412281383104,426.412281383104
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",48.6865211534041,711444.734427488,1978049.51515152,-429.339996337891,429.339996337891
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",60.8581514417551,711443.627720396,1978037.39393939,-432.758707627885,432.758707627885
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",73.0297817301062,711442.521013303,1978025.27272727,-434.600529626793,434.600529626793
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",85.2014120184572,711441.41430621,1978013.15151515,-436.654252023377,436.654252023377
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",97.3730423068082,711440.307599118,1978001.03030303,-440.410003662109,440.410003662109
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",109.544672595159,711439.200892025,1977988.90909091,-445.385393797163,445.385393797163
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",121.71630288351,711438.094184932,1977976.78787879,-448.438995640334,448.438995640334
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",133.887933171861,711436.98747784,1977964.66666667,-451.642156628087,451.642156628087
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",146.059563460213,711435.880770747,1977952.54545455,-453.720770791999,453.720770791999
"1","author-created deterministic analytical window",-593.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",158.231193748564,711434.774063654,1977940.42424242,-457.826768943138,457.826768943138
