"object","object_class","rows","columns","layers","field_names","field_types","geometry_type","crs_text","crs_sha256","extent","resolution","value_min","value_max"
"documented_elevation","SpatRaster",751,1001,1,"elevation_m","numeric","","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""(E)"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""(N)"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Engineering survey, topographic mapping.""],             AREA[""United States (USA) - between 72°W and 66°W onshore and offshore - Connecticut; Maine; Massachusetts; New Hampshire; New York (Long Island); Rhode Island; Vermont.""],             BBOX[33.61,-72,47.47,-65.99]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height (H)"",up,                 LENGTHUNIT[""metre"",1]],         USAGE[             SCOPE[""Hydrography, drilling.""],             AREA[""World.""],             BBOX[-90,-180,90,180]],         ID[""EPSG"",5714]]]","cb3674a264179698723a5408dd3ed091a0f8da3b7505897a5a8b6b889341b7c7","707998;712002;1976498;1979502","4;4","-805.9199829101562","-12.34000015258789"
"author_analysis_windows","SpatVector",2,2,,"zone_id;polygon_provenance","character;character","polygons","COMPOUNDCRS[""NAD83(2011) / UTM zone 19N + MSL height"",     PROJCRS[""NAD83(2011) / UTM zone 19N"",         BASEGEOGCRS[""NAD83(2011)"",             DATUM[""NAD83 (National Spatial Reference System 2011)"",                 ELLIPSOID[""GRS 1980"",6378137,298.257222101,                     LENGTHUNIT[""metre"",1]]],             PRIMEM[""Greenwich"",0,                 ANGLEUNIT[""degree"",0.0174532925199433]],             ID[""EPSG"",6318]],         CONVERSION[""UTM zone 19N"",             METHOD[""Transverse Mercator"",                 ID[""EPSG"",9807]],             PARAMETER[""Latitude of natural origin"",0,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8801]],             PARAMETER[""Longitude of natural origin"",-69,                 ANGLEUNIT[""degree"",0.0174532925199433],                 ID[""EPSG"",8802]],             PARAMETER[""Scale factor at natural origin"",0.9996,                 SCALEUNIT[""unity"",1],                 ID[""EPSG"",8805]],             PARAMETER[""False easting"",500000,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8806]],             PARAMETER[""False northing"",0,                 LENGTHUNIT[""metre"",1],                 ID[""EPSG"",8807]]],         CS[Cartesian,2],             AXIS[""easting"",east,                 ORDER[1],                 LENGTHUNIT[""metre"",1]],             AXIS[""northing"",north,                 ORDER[2],                 LENGTHUNIT[""metre"",1]],         ID[""EPSG"",6348]],     VERTCRS[""MSL height"",         VDATUM[""Mean Sea Level""],         CS[vertical,1],             AXIS[""gravity-related height"",up,                 LENGTHUNIT[""metre"",1]],         ID[""EPSG"",5714]]]","9d84e3a4f89a7b4e81226b234abcfca1c5accdc0ab2cc2b502f537d9c34599cd","708398;711498;1976898;1978698","","",""
"provenance_manifest","data.frame",32,2,,"field;value","character;character","","","","","","",""
