"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","slope_deg"
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",0,711490.221178506,1976898,-643.039978027344,9.41529430494408
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",4.50273370862776,711490.630590164,1976902.48408217,-642.546726118538,10.8930981653338
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",9.00546741725551,711491.040001821,1976906.96816435,-641.701671043203,12.8959496926369
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",13.5082011258833,711491.449413479,1976911.45224652,-640.722275817363,6.83368872842983
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",18.010934834511,711491.858825137,1976915.9363287,-640.609985351562,1.8367026743233
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",22.5136685431388,711492.268236794,1976920.42041087,-640.523800353156,7.104873605047
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",27.0164022517665,711492.677648452,1976924.90449305,-639.509587391465,12.5729407151106
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",31.5191359603943,711493.087060109,1976929.38857522,-638.549987792969,6.55120576463755
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",36.021869669022,711493.496471767,1976933.87265739,-638.549987792969,5.50255980402583
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",40.5246033776498,711493.905883424,1976938.35673957,-637.813506677878,13.350810848635
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",45.0273370862776,711494.315295082,1976942.84082174,-636.440666958249,10.668641703101
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",49.5300707949053,711494.72470674,1976947.32490392,-636.090026855469,2.39907649466352
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",54.0328045035331,711495.134118397,1976951.80898609,-636.090026855469,8.27653705344384
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",58.5355382121608,711495.543530055,1976956.29306827,-634.809915586175,13.7452390733346
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",63.0382719207886,711495.952941712,1976960.77715044,-634.049987792969,5.54750305539628
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",67.5410056294163,711496.36235337,1976965.26123261,-634.033682554821,3.23482568058666
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",72.0437393380441,711496.771765027,1976969.74531479,-633.619428264668,10.118989253892
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",76.5464730466718,711497.181176685,1976974.22939696,-632.460554704915,10.2596689150723
"1","author-created deterministic analytical window",-743.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_1",81.0492067552996,711497.590588342,1976978.71347914,-631.984220614547,3.29758491658969
