"level","contour_value","depth_label","corridor_id","buffer_distance","nominal_corridor_width","overlap_policy","zone_id","slope_deg_mean","slope_deg_count","bpi_3x3_mean","bpi_3x3_count","bpi_11x11_mean","bpi_11x11_count","rugosity_vrm_3x3_mean","rugosity_vrm_3x3_count","curvature_mean","curvature_count","surface_area_ratio_mean","surface_area_ratio_count"
-50,-50,-50,1,20,40,"independent_may_overlap",1,40.8299116324649,10688.6437918842,-0.0169803405217146,10708.5257590861,-0.0212312073564566,10708.5257590861,0.00833873002404985,10688.6437918842,0.053713846192488,10688.6437918842,1.367223304226,10688.6437918842
-200,-200,-200,2,20,40,"independent_may_overlap",2,47.6324402718135,10674.3710838055,-0.283092570093853,10696.53600116,-3.80626479450354,10696.53600116,0.0138349256211171,10674.3710838055,0.851763062535258,10674.3710838055,1.67408669231247,10674.3710838055
-400,-400,-400,3,20,40,"independent_may_overlap",3,22.9884551042151,11615.6615459689,-0.00232326403876699,11638.2410421142,-0.0551839787412693,11638.2410421142,0.0194424721597818,11615.6615459689,0.00789696285825113,11615.6615459689,1.11200264912402,11615.6615459689
